%# net.balmeyer.qno.dico.DictionaryCSV					
texte	type	groupe	pluriel	feminin	femininpluriel
a	null				
A	null				
a	null				
a-	null				
A/m	null				
ab absurdo	adj				
abaisse	nf				
abaisse-langue	nm				
abaissement	nm				
abaisser	v				
abajoue	nf				
abandon	nm				
abandonner	v				
abaque	nm				
abasourdir	v				
abasourdissant	adj				
abasourdissement	nm				
abatardir	v				
abatardissement	nm				
abatis	nm				
abat-jour	nm				
abats	nm				
abat-son	nm				
abattage	nm				
abattant	nm				
abattement	nm				
abattis	nm				
abattoir	nm				
abattre	v				
abat-vent	nm				
abat-voix	nm				
abbatial	nf				
abbaye	nf				
abbe	nm				
abbesse	nf				
a b c	nm				
abces	nm				
abdication	nf				
abdiquer	v				
abdomen	nm				
abdominal	adj				
abduction	nf				
abecédaire	nm				
abeille	nf				
aberrance	nf				
aberrant	adj				
aberration	nf				
abetir	v				
abetissement	nm				
abhorrer	v				
abime	nm				
abimer	v				
ab intestat	adj				
abiotique	adj		abiotiques	abiotique	abiotiques
ab irato	adj				
abject	adj				
abjection	nf				
abjuration	nf				
abjurer	v	1			
ablatif	nm				
ablation	nf				
-able	null				
ablution	nf				
abnegation	nf				
aboi	nm				
aboiement	nm				
abolir	v				
abolition	nf				
abolitionnisme	nm				
abominable	adj				
abominablement	adj				
abomination	nf				
abominer	v	1			
abondamment	adj				
abondance	nf				
abondant	adj				
abonder	vi				
abonné	nm				
abonnement	nm				
abonner	v				
abord	nm				
abordable	adj				
abordage	nm				
aborder	v				
aborigène	nm				
abortif	adj			abortive	
aboucher	v				
aboulie	nf				
aboulique	nm				
abouter	v				
aboutir	v				
aboutissant	nm				
aboutissement	nm				
aboyer	v				
abracadabrant	adj				
abrasif	adj				
abrasion	nf				
abregé	nm				
abregement	nm				
abreger	v				
abreuver	v				
abreuvoir	nm				
abreviatif	adj				
abreviation	nf				
abri	nm				
abribus	nm				
abricot	nm				
abricotier	nm				
abri-sous-roche	nm				
abriter	v				
abrogatif	adj				
abrogation	nf				
abrogeable	adj				
abroger	v				
abrupt	adj				
abruptement	adj				
abrupto (ex)	null				
abruti	nm				
abrutir	v				
abrutissant	adj				
abrutissement	nm				
abscisse	nf				
abscons	adj				
absence	nf				
absent	nm				
absentéisme	nm				
absenter (s')	null				
abside	nf				
absinthe	nf				
absolu	nm				
absolument	adj				
absorbant	adj				
absorber	v				
absorption	nf				
absoudre	v				
absoute	nf				
abstenir (s')	null				
abstention	nf				
abstentionnisme	nm				
abstinence	nf				
abstraction	nf				
abstraire	v				
abstrait	adj				
abstraitement	adj				
abstrus	adj				
absurde	nm				
absurdement	adj				
absurdité	nf				
absurdo (ab)	null				
abus	nm				
abuser	v				
abusif	adj				
abusivement	adj				
abyssal	adj				
abysse	nm				
Ac	null				
acabit	nm				
acacia	nm				
académicien	nm				
académie	nf				
académique	adj				
académiquement	adj				
acadien	nm				
acajou	nm				
acanthe	nf				
a cappella	adj				
acariâtre	adj				
accablant	adj				
accablement	nm				
accabler	v				
accalmie	nf				
accaparement	nm				
accaparer	v				
acceder	v				
accelerando	adj				
accelérateur	nm				
accelération	nf				
acceléré	nm				
accelérer	v				
accent	nm				
accentuation	nf				
accentué	adj				
accentuer	v				
acceptable	adj				
acceptation	nf				
accepter	v				
acception	nf				
acces	nm				
accessibilité	nf				
accessible	adj				
accession	nf				
accessit	nm				
accessoire	nm				
accessoirement	adj				
accessoiriste	nm				
accident	nm				
accidenté	nm				
accidentel	adj				
accidentellement	adj				
acclamation	nf				
acclamer	v				
acclimatation	nf				
acclimatement	nm				
acclimater	v				
accointances	nf				
accolade	nf				
accoler	v				
accommodant	adj				
accommodation	nf				
accommodement	nm				
accommoder	v				
accompagnateur	nm				
accompagnement	nm				
accompagner	v				
accompli	adj				
accomplir	v				
accomplissement	nm				
accord	nm				
accord-cadre	nm				
accordéon	nm				
accordéoniste	nm				
accorder	v				
accordeur	nf				
accordoir	nm				
accort	adj				
accostage	nm				
accoster	v				
accotement	nm				
accoter	v				
accotoir	nm				
accouchée	nf				
accouchement	nm				
accoucher	v				
accoucheur	nf				
accouder (s')	null				
accoudoir	nm				
accouplement	nm				
accoupler	v				
accourir	vi				
accoutrement	nm				
accoutrer	v				
accoutumance	nf				
accoutumé	adj				
accoutumer	v				
accréditer	v				
accréditif	nm				
accrétion	nf				
accroc	nm				
accrochage	nm				
accroche	nf				
accroche-coeur	nm				
accrocher	v				
accrocheur	adj				
accroire	v				
accroissement	nm				
accroître	v				
accroupir (s')	null				
accroupissement	nm				
accu	nm				
accueil	nm				
accueillant	adj				
accueillir	v				
acculer	v				
acculturation	nf				
acculturer	v				
accumulateur	nm				
accumulation	nf				
accumuler	v				
accusateur	nm				
accusatif	nm				
accusation	nf				
accusé	nm				
accusé de réception	nm				
accuser	v				
-ace	null				
acephale	nm				
acerbe	adj				
aceré	adj				
